,symbol,companyid
291,AOMR-USD-STK,600542140
292,AON-USD-STK,119853
293,AONE-USD-STK,681169539
294,AOR-USD-STK,50172505
295,AORT-USD-STK,27212
296,AOS-USD-STK,997111
297,AOSL-USD-STK,7939542
298,AOUT-USD-STK,644158614
299,APA-USD-STK,169838
300,APAM-USD-STK,129555216
301,APD-USD-STK,248356
302,APEI-USD-STK,25024657
303,APEN-USD-STK,37790054
304,APG-USD-STK,537628097
305,APGB-USD-STK,700424233
306,APH-USD-STK,24827
307,APLD-USD-STK,3563673
308,APLE-USD-STK,38985277
309,APLS-USD-STK,106524288
310,APLT-USD-STK,559189115
311,APO-USD-STK,18833
312,APOG-USD-STK,251050
313,APP-USD-STK,231651802
314,APPF-USD-STK,44299616
315,APPH-USD-STK,552898539
316,APPN-USD-STK,6512739
317,APPS-USD-STK,29032475
318,APR-USD-STK,24967
319,APRN-USD-STK,428879292
320,APSG-USD-STK,688655380
321,APTS-USD-STK,110160895
322,APTV-USD-STK,59502420
323,APXT-USD-STK,630485526
324,APYX-USD-STK,250771
325,AQB-USD-STK,711504
326,AQUA-USD-STK,262017696
327,AR-USD-STK,4544094
328,ARAY-USD-STK,739115
329,ARBE-USD-STK,379289324
330,ARCB-USD-STK,25063
331,ARCC-USD-STK,9771238
332,ARCE-USD-STK,578745457
333,ARCH-USD-STK,218812
334,ARCO-USD-STK,129040994
335,ARCT-USD-STK,235062181
336,ARD-USD-STK,264902411
337,ARDC-USD-STK,128844974
338,ARDX-USD-STK,58915635
339,ARE-USD-STK,365138
340,ARES-USD-STK,44707236
341,ARGO-USD-STK,251492
342,ARHS-USD-STK,1684295272
343,ARI-USD-STK,61106447
344,ARIS-USD-STK,328317559
345,ARKF-USD-STK,597721466
346,ARKG-USD-STK,268203657
347,ARKK-USD-STK,268203659
348,ARKO-USD-STK,952512
349,ARKQ-USD-STK,268203658
350,ARKW-USD-STK,268203656
351,ARKX-USD-STK,701246380
352,ARLO-USD-STK,571928689
353,ARMK-USD-STK,1004106
354,ARNA-USD-STK,25026
355,ARNC-USD-STK,636201937
356,AROC-USD-STK,362798
357,ARQQ-USD-STK,598954721
358,ARQT-USD-STK,549019944
359,ARR-USD-STK,47014609
360,ARRY-USD-STK,51751457
361,ARTA-USD-STK,595898692
362,ARTE-USD-STK,704395172
363,ARTNA-USD-STK,251682
364,ARVL-USD-STK,622951034
365,ARVN-USD-STK,243040896
366,ARW-USD-STK,252150
367,ARWR-USD-STK,203142
368,ASA-USD-STK,223501
369,ASAN-USD-STK,81838153
370,ASB-USD-STK,251884
